LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C12074,HR911105A,HANRUN(Zhongshan HanRun Elec),,Plugin,RJ45 RJReceptacle 1 WithLED Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,YES,10,1\1,1.178900,11.79
C7463412,AD116,IDCHIP,,SOT23-6," SOT23-6  Motor Driver ICs ROHS",YES,600,10\10,0.031800,19.08
C2687656,TAS10-12-W2,TDPOWER,,"Plugin,25x39mm","12V 85VAC~265VAC 830mA 100V~370V 10W 85% Plugin,25x39mm  Power Modules ROHS",YES,80,1\1,2.663200,213.06
C86613,74HC04D,Shenzhen Fuman Elec,,SOIC-14," SOIC-14  Buffer/Driver/Transceiver ROHS",YES,1000,10\10,0.040200,40.20
C93838,SM74HC595D,Shenzhen Sunmoon Micro,,SOP-16," SOP-16  Shifting Register ROHS",YES,150,5\5,0.049800,7.47
C5349701,APH0630T2R2M,APV,,"SMD,7x6.6mm","8.65A 2.2uH Molding Choke ±20% 8.3A SMD,7x6.6mm  Power Inductors ROHS",YES,600,10\10,0.045100,27.06
C724871,Ra-01S,Ai-Thinker,,"SMD,16x17mm"," SMD,16x17mm  LoRa Modules ROHS",YES,800,1\1,2.782500,2226.00
C2764087,Ra-01SH,Ai-Thinker,,SMD-16P," SMD-16P  LoRa Modules ROHS",YES,250,1\1,3.850100,962.53
C137688,RC0603FR-076K19L,YAGEO,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 6.19kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,2000,100\100,0.001000,2.00
C5379085,MAX811R,MSKSEMI,,SOT-143,Active Low 1 SOT-143  Monitors & Reset Circuits ROHS,YES,150,5\5,0.094500,14.18
C122522,TAXM8M2QLFCDT1T,Yajingxin,,SMD5032-2P,8MHz 20pF ±30ppm SMD5032-2P  Crystals ROHS,YES,200,5\5,0.111600,22.32
C27596,MJD31C,"Jiangsu Changjing Electronics Technology Co., Ltd.",,TO-252-2(DPAK),"100V 15W 15@3A,4V 3A NPN TO-252-2(DPAK)  Bipolar Transistors - BJT ROHS",YES,200,5\5,0.155600,31.12
C2686264,5TG210000ZYJBC,JYJE,,SMD5032-2P,10MHz 20pF ±10ppm SMD5032-2P  Crystals ROHS,YES,200,1\1,0.151600,30.32
C5246515,HV1A337M0607PZ,Honor Elec,,"SMD,D6.3xL7.7mm","10V 330uF SMD,D6.3xL7.7mm  Solid Capacitors ROHS",YES,2000,5\5,0.086700,173.40
C434440,SZYY1206B,Yongyu Photoelectric,,1206,无色透明透镜 -40℃~+85℃ 460nm~475nm Blue 120° 100mW 1206  Light Emitting Diodes (LED) ROHS,YES,6000,50\50,0.008800,52.80
C2907063,FRC0603F6802TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 68000Ω 0603  Chip Resistor - Surface Mount ROHS,YES,15000,100\100,0.000500,7.50
C2926140,FSS2302S,FOSAN,,SOT-23,"20V 2.5A 1000mW 55mΩ@4.5V,3.6A 1.5V@250uA N Channel SOT-23  MOSFETs ROHS",YES,6000,50\50,0.009000,54.00
C5181460,AMS1117-3.3,HX(hengjiaxing),,SOT-223," SOT-223  Linear Voltage Regulators (LDO) ROHS",YES,200,20\20,0.024300,4.86
C280408,RT1C102M1010,ROQANG,,"SMD,D10xL10.2mm","1000uF 16V 320mA@120Hz ±20% SMD,D10xL10.2mm  Aluminum Electrolytic Capacitors - SMD ROHS",YES,1500,5\5,0.056400,84.60
C194407,DC-470-2.1GP,GANGYUAN,,Plugin,Right-Angle DC Power Receptacle -40℃~+55℃ 2.1mm 6.3mm 500mA 30V Plugin  AC/DC Power Connectors ROHS,YES,100,10\10,0.060100,6.01
C353415,SMAJ8.5CA,Shandong Jingdao Microelectronics,,SMA,27.8A 14.4V 9.44V 8.5V SMA  TVS ROHS,YES,500,20\20,0.022400,11.20
C324245,PCD0403KT151,Viking Tech,,SMD,212mA 150uH ±10% SMD  Power Inductors ROHS,YES,190,5\5,0.060200,11.44
C242307,SLF0403-150MTT,Sunltech Tech,,SMD,920mA 15uH ±20% SMD  Power Inductors ROHS,YES,200,10\10,0.033500,6.70
C411917,SLF0403-101MTT,Sunltech Tech,,SMD,440mA 100uH ±20% SMD  Power Inductors ROHS,YES,200,10\10,0.030200,6.04
C843277,FNR6045S222MT,cjiang (Changjiang Microelectronics Tech),,"SMD,6x6mm","0.2A 2200uH ±20% 0.23A SMD,6x6mm  Power Inductors ROHS",YES,200,5\5,0.080000,16.00
C5305,C5305,BOOMELE(Boom Precision Elec),,P=2.54mm,Open Top 3A 2.54mm P=2.54mm  Shunts & Jumpers ROHS,YES,2000,100\100,0.006100,12.20
C460727,MJD32C-13,Diodes Incorporated,,TO-252-2,"100V 15W 10@3A,4V 3A PNP TO-252-2  Bipolar Transistors - BJT ROHS",YES,200,5\5,0.170100,34.02
C727133,MMBT4401,TWGMC,,SOT-23,"40V 300mW 100@150mA,1V 600mA NPN SOT-23  Bipolar Transistors - BJT ROHS",YES,6000,50\50,0.006700,40.20
C237222,1206B474K500CT,Walsin Tech Corp,,1206,50V 470nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,2000,20\20,0.010300,20.60
C111332,BL24C512A-PARC,BL(Shanghai Belling),,SOP-8," SOP-8  EEPROM ROHS",YES,500,5\5,0.155800,77.90
