+ACI-Manufacture Part Number+ACI-,+ACI-Description+ACI-,+ACI-Order Qty.+ACI-,+ACI-Unit Price+ACI-,+ACI-Unit Price (ZAR)+ACI-,+ACI-Order Price+ACI-,+ACI-Order Price (ZAR)+ACI-
+ACI-HR911105A+ACI-,+ACI-RJ45 RJReceptacle 1 WithLED Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS+ACI-,10,1.1789,22.623645,11.79,226.23645
+ACI-AD116+ACI-,+ACI- SOT23+AC0-6  Motor Driver ICs ROHS+ACI-,600,0.0318,0.610257,19.08,366.1542
+ACI-TAS10+AC0-12+AC0-W2+ACI-,+ACI-12V 85VAC+AH4-265VAC 830mA 100V+AH4-370V 10W 85+ACU- Plugin,25x39mm  Power Modules ROHS+ACI-,80,2.6632,51.10806,213.06,4088.6448
+ACI-74HC04D+ACI-,+ACI- SOIC+AC0-14  Buffer/Driver/Transceiver ROHS+ACI-,1000,0.0402,0.771457,40.2,771.457
+ACI-SM74HC595D+ACI-,+ACI- SOP+AC0-16  Shifting Register ROHS+ACI-,150,0.0498,0.955685,7.47,143.35275
+ACI-APH0630T2R2M+ACI-,+ACI-8.65A 2.2uH Molding Choke +//0Awv/9ALE-20+ACU- 8.3A SMD,7x6.6mm  Power Inductors ROHS+ACI-,600,0.0451,0.86549,27.06,519.294
+ACI-Ra+AC0-01S+ACI-,+ACI- SMD,16x17mm  LoRa Modules ROHS+ACI-,800,2.7825,53.397483,2226,42717.9864
+ACI-Ra+AC0-01SH+ACI-,+ACI- SMD+AC0-16P  LoRa Modules ROHS+ACI-,250,3.8501,73.885229,962.53,18471.30725
+ACI-RC0603FR+AC0-076K19L+ACI-,+ACI-100mW Thick Film Resistors +//0Awv/9ALE-100ppm/+//0A4v/9AIT//QCD- +//0Awv/9ALE-1+ACU- 6.19k+//0Azv/9AKk- 0603  Chip Resistor +AC0- Surface Mount ROHS+ACI-,2000,0.001,0.01919,2,38.38
+ACI-MAX811R+ACI-,+ACI-Active Low 1 SOT+AC0-143  Monitors +ACY- Reset Circuits ROHS+ACI-,150,0.0945,1.813499,14.18,272.02485
+ACI-TAXM8M2QLFCDT1T+ACI-,+ACI-8MHz 20pF +//0Awv/9ALE-30ppm SMD5032+AC0-2P  Crystals ROHS+ACI-,200,0.1116,2.141656,22.32,428.3312
+ACI-MJD31C+ACI-,+ACI-100V 15W 15+AEA-3A,4V 3A NPN TO+AC0-252+AC0-2(DPAK)  Bipolar Transistors +AC0- BJT ROHS+ACI-,200,0.1556,2.986037,31.12,597.2074
+ACI-5TG210000ZYJBC+ACI-,+ACI-10MHz 20pF +//0Awv/9ALE-10ppm SMD5032+AC0-2P  Crystals ROHS+ACI-,200,0.1516,2.909275,30.32,581.855
+ACI-HV1A337M0607PZ+ACI-,+ACI-10V 330uF SMD,D6.3xL7.7mm  Solid Capacitors ROHS+ACI-,2000,0.0867,1.663814,173.4,3327.628
